data,miasto,temperatura,opis,wilgotność,wiatr
2025-06-23 22:46,Krakow,17.86,pochmurnie,88,6.17
2025-06-23 23:32,Krakow,17.86,słabe opady deszczu,92,4.12
2025-06-23 23:34,Krakow,18.05,słabe opady deszczu,92,4.12
2025-06-23 23:36,Środa wielkopolska,14.56,zachmurzenie małe,70,6.85
2025-06-24 00:19,Środa wielkopolska,14.01,zachmurzenie małe,72,6.85
2025-06-24 00:25,Kraków,18.1,umiarkowane opady deszczu,88,3.6
2025-06-24 00:25,Krakow,18.15,umiarkowane opady deszczu,88,3.6
2025-06-24 00:26,Środa wielkopolska,14.01,zachmurzenie małe,72,6.85
2025-06-24 00:29,Środa wielkopolska,14.01,zachmurzenie małe,71,5.52
2025-06-24 00:31,Kraków,18.1,słabe opady deszczu,89,3.6
2025-06-24 00:31,Lenartowice,15.49,zachmurzenie umiarkowane,73,6.92
2025-06-24 00:31,San francisco,18.25,mgła,67,9.26
